"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
42,2,4,3,2,2,1,1,2,2,2
20,2,4,1,3,3,1,1,1,1,2
23,3,2,1,4,1,1,1,3,2,2
50,1,3,1,4,4,3,3,1,2,2
53,1,3,1,1,1,1,1,1,3,105
61,2,4,1,2,2,1,1,3,2,3
88,3,3,3,1,2,4,3,4,2,2
25,3,2,2,3,3,3,3,2,3,2
58,2,4,3,1,1,3,1,3,3,1
33,2,2,1,4,3,1,1,1,3,3
55,1,1,2,4,1,2,2,2,3,2
35,2,2,2,2,2,2,2,2,2,3
40,1,2,1,4,3,2,2,4,3,1
22,1,4,1,3,4,1,1,2,2,3
61,1,4,3,1,1,1,1,1,1,2
33,1,3,1,4,4,1,3,3,2,2
34,1,2,2,3,3,1,1,3,2,1
78,2,4,3,1,1,1,1,1,2,2
34,4,1,3,2,2,1,1,3,3,1
73,4,4,2,2,1,1,1,2,2,2
27,2,3,2,3,3,1,1,2,2,1
65,1,4,1,2,2,1,1,3,1,2
35,3,4,4,4,2,4,4,3,3,1
38,3,3,3,3,3,3,3,3,4,2
39,3,4,3,4,4,1,4,3,2,2
68,2,1,1,4,1,1,1,1,1,3
50,3,4,2,2,1,1,1,3,2,1
65,3,3,3,2,2,1,1,3,2,2
32,1,2,1,2,2,1,1,2,2,2
58,4,4,4,4,1,1,1,4,3,2
45,2,3,2,1,1,1,1,1,1,2
60,3,4,3,3,1,1,1,4,2,1
23,1,4,1,2,3,1,1,1,1,1
62,2,4,1,3,1,2,3,3,2,1
53,2,3,2,3,3,3,3,3,3,3
32,3,4,1,3,3,1,1,1,2,2
57,2,4,3,2,1,1,1,3,2,2
34,1,3,2,2,2,1,1,2,2,3
36,4,3,2,4,2,2,2,4,3,2
55,1,2,4,4,3,1,2,4,3,2
51,1,1,1,4,1,1,1,2,2,3
23,4,4,2,2,2,1,1,2,2,1
63,3,3,2,2,2,1,2,2,2,1
63,3,4,3,4,1,1,1,3,1,4
60,4,4,3,2,1,1,1,1,1,1
63,1,4,2,4,1,1,1,2,2,2
41,1,1,1,3,2,1,1,1,2,2
29,4,4,2,4,1,2,1,1,2,4
37,4,4,4,4,2,1,4,1,2,2
29,1,4,1,3,2,1,1,3,3,1
63,2,4,1,2,1,1,1,3,2,1
36,2,3,1,1,1,3,3,3,3,3
26,4,3,3,2,2,3,4,2,2,2
61,1,2,2,1,1,3,1,1,1,1
46,1,2,2,2,2,1,1,1,1,3
76,1,4,1,4,2,1,1,4,3,1
39,1,4,1,3,3,1,1,3,3,2
52,2,2,3,3,3,4,4,4,4,3
77,4,3,1,4,1,1,1,2,4,1
64,2,3,2,3,2,3,3,3,3,2
51,2,4,3,3,2,1,3,3,4,1
35,1,2,2,3,2,1,1,2,1,1
71,4,4,3,2,2,3,2,3,3,2
58,3,3,2,2,1,1,1,1,2,2
48,1,4,2,3,1,1,4,4,2,1
31,2,3,3,3,2,1,1,3,2,3
64,3,4,3,2,2,1,1,1,2,2
52,1,3,4,2,1,1,1,3,1,1
37,1,2,1,2,2,2,2,2,1,2
50,3,3,1,3,2,1,1,2,2,3
57,3,3,3,2,3,2,3,3,3,2
65,2,1,1,1,1,1,1,3,1,1
57,1,4,2,3,1,1,1,2,2,2
57,2,4,3,3,2,1,1,1,2,2
42,3,4,2,3,3,1,1,2,1,1
39,3,3,1,3,1,1,1,3,1,1
48,3,3,4,3,3,3,3,3,4,3
